vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,pickup_location_id,dropoff_location_id
2,7/23/18 9:23,7/23/18 9:58,1,10.03,1,N,1,35,0.00E+00,0.5,8.31,5.76,0.3,49.87,107,138
2,7/23/18 9:09,7/23/18 9:53,1,17.48,3,N,1,67,0.00E+00,0.00E+00,15.96,12.5,0.3,95.76,143,1
1,7/23/18 9:37,7/23/18 10:13,1,7.3,1,N,1,30,0.00E+00,0.5,7.7,0.00E+00,0.3,38.5,262,231
2,7/23/18 9:33,7/23/18 10:02,1,14.25,3,N,1,58.5,0.00E+00,0.00E+00,14.26,12.5,0.3,85.56,158,1
2,7/23/18 10:58,7/23/18 11:27,2,7.84,1,N,1,27.5,0.00E+00,0.5,5.66,0.00E+00,0.3,33.96,237,65
1,7/23/18 11:15,7/23/18 11:53,1,10.8,1,N,1,36.5,0.00E+00,0.5,7,5.76,0.3,50.06,138,230
1,7/23/18 11:18,7/23/18 11:43,1,9.1,1,N,1,29.5,0.00E+00,0.5,6.06,0.00E+00,0.3,36.36,140,138
2,7/23/18 12:50,7/23/18 13:25,1,3.62,1,N,1,22,0.00E+00,0.5,4.56,0.00E+00,0.3,27.36,234,262
2,7/23/18 13:08,7/23/18 13:35,1,10.6,1,N,1,32.5,0.00E+00,0.5,9.76,5.76,0.3,48.82,138,43
1,7/23/18 14:38,7/23/18 14:55,1,8,1,N,1,23.5,0.00E+00,0.5,6,5.76,0.3,36.06,138,170
2,7/23/18 14:13,7/23/18 14:36,1,8.21,1,N,1,27,0.00E+00,0.5,10.07,5.76,0.3,43.63,138,162
2,7/23/18 14:55,7/23/18 15:22,5,5.54,1,N,1,22.5,0.00E+00,0.5,4.66,0.00E+00,0.3,27.96,186,166
2,7/23/18 15:27,7/23/18 15:55,5,6.11,1,N,1,24.5,0.00E+00,0.5,5.06,0.00E+00,0.3,30.36,237,231
2,7/23/18 16:00,7/23/18 16:43,1,20.22,1,N,1,56.5,1,0.5,14.58,0.00E+00,0.3,72.88,132,14
1,7/23/18 17:50,7/23/18 17:50,1,11.7,1,N,1,38,1,0.5,7.95,0.00E+00,0.3,47.75,61,61
2,6/30/18 23:34,7/1/18 0:18,1,11.94,1,N,1,38.5,0.5,0.5,9.95,0.00E+00,0.3,49.75,132,49
1,1/1/18 0:40,1/1/18 1:14,1,5.3,1,N,1,23.5,0.5,0.5,4.95,0.00E+00,0.3,29.75,249,263
2,1/1/18 0:39,1/1/18 1:08,3,6.77,1,N,1,25,0.5,0.5,2.5,0.00E+00,0.3,28.8,179,238
1,1/1/18 1:47,1/1/18 2:07,2,8.3,1,N,1,26,0.5,0.5,6.8,0.00E+00,0.3,34.1,264,264
2,1/1/18 1:19,1/1/18 1:46,2,9.34,1,N,1,29,0.5,0.5,25,0.00E+00,0.3,55.3,79,257
1,1/1/18 1:32,1/1/18 2:02,1,10.5,1,N,1,33,0.5,0.5,6.85,0.00E+00,0.3,41.15,170,243
2,1/1/18 1:20,1/1/18 1:44,1,9.7,1,N,1,30.5,0.5,0.5,7.95,0.00E+00,0.3,39.75,224,244
1,1/1/18 2:28,1/1/18 2:52,1,6.8,1,N,1,23.5,0.5,0.5,4.95,0.00E+00,0.3,29.75,50,80
1,1/1/18 2:52,1/1/18 3:08,2,8.8,1,N,1,26,0.5,0.5,5.46,0.00E+00,0.3,32.76,48,127
2,1/1/18 2:23,1/1/18 3:04,1,23.04,1,N,1,63,0.5,0.5,12.86,0.00E+00,0.3,77.16,83,56
2,1/1/18 2:40,1/1/18 3:11,1,13.05,1,N,1,39,0.5,0.5,11.52,5.76,0.3,57.58,80,116
2,1/1/18 2:50,1/1/18 2:50,2,0.00E+00,5,N,1,30,0.00E+00,0.00E+00,6.06,0.00E+00,0.3,36.36,264,151
2,1/1/18 2:54,1/1/18 2:56,1,0.3,1,N,1,3,0.5,0.5,0.43,0.00E+00,0.3,4.73,107,107
1,1/1/18 3:20,1/1/18 3:39,1,8.5,1,N,1,25,0.5,0.5,7.85,0.00E+00,0.3,34.15,132,63
1,1/1/18 3:42,1/1/18 3:43,1,0.00E+00,5,N,1,80,0.00E+00,0.00E+00,8,0.00E+00,0.3,88.3,265,265
1,1/1/18 4:04,1/1/18 4:27,3,7.9,1,N,1,26,0.5,0.5,5.45,0.00E+00,0.3,32.75,231,236
1,1/1/18 4:05,1/1/18 4:36,1,8.2,1,N,1,27.5,0.5,0.5,5.75,0.00E+00,0.3,34.55,249,223
1,1/1/18 5:15,1/1/18 5:34,2,7.8,1,N,1,24,0.5,0.5,4,0.00E+00,0.3,29.3,164,116
1,1/1/18 6:13,1/1/18 6:31,1,9.6,1,N,1,27,0.00E+00,0.5,10.05,5.76,0.3,43.61,164,138
2,1/1/18 7:40,1/1/18 8:13,1,10.48,1,N,1,37,0.00E+00,0.5,20,0.00E+00,0.3,57.8,264,264
1,1/1/18 10:44,1/1/18 11:02,1,7.9,1,N,1,24,0.00E+00,0.5,6.2,0.00E+00,0.3,31,7,114
1,1/1/18 11:24,1/1/18 11:42,2,9,1,N,1,26,0.00E+00,0.5,4,5.76,0.3,36.56,138,234
2,1/1/18 11:11,1/1/18 11:38,5,13.71,1,N,1,39,0.00E+00,0.5,11.39,5.76,0.3,56.95,163,138
